device_id,device_info,os,browser,screen,device_type
iOS Device|iOS 10.3.3|mobile safari 10.0|1334x750,iOS Device,iOS 10.3.3,mobile safari 10.0,1334x750,mobile
Z836BL|Android 6.0.1|chrome 53.0 for android|855x480,Z836BL,Android 6.0.1,chrome 53.0 for android,855x480,mobile
MacOS|Mac OS X 10_9_5|safari generic|1280x800,MacOS,Mac OS X 10_9_5,safari generic,1280x800,desktop
SM-G930V Build/NRD90M|Android 7.0|chrome 62.0 for android|,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
LG-K580 Build/MRA58K||chrome 62.0 for android|,LG-K580 Build/MRA58K,,chrome 62.0 for android,,mobile
Trident/7.0|Windows 10|ie 11.0 for desktop|1680x1050,Trident/7.0,Windows 10,ie 11.0 for desktop,1680x1050,desktop
MacOS|Mac OS X 10_11_6|safari generic|1920x1200,MacOS,Mac OS X 10_11_6,safari generic,1920x1200,desktop
Trident/7.0|Windows 7|ie 11.0 for desktop|1920x1080,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080,desktop
SM-G950U Build/NRD90M|Android 7.0|chrome 62.0 for android|2220x1080,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080,mobile
SAMSUNG SM-G930T Build/NRD90M|Android 7.0|samsung browser 6.2|1920x1080,SAMSUNG SM-G930T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,mobile
Moto G (4) Build/NPJ25.93-14.5||chrome generic|,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,mobile
Windows||chrome 61.0|,Windows,,chrome 61.0,,desktop
SM-T710 Build/NRD90M||chrome 62.0 for android|,SM-T710 Build/NRD90M,,chrome 62.0 for android,,mobile
SAMSUNG||chrome generic|,SAMSUNG,,chrome generic,,mobile
Windows|Windows 10|chrome 62.0|1366x768,Windows,Windows 10,chrome 62.0,1366x768,desktop
iOS Device|iOS 11.1.2|mobile safari generic|2436x1125,iOS Device,iOS 11.1.2,mobile safari generic,2436x1125,mobile
MacOS|Mac OS X 10_12_6|safari generic|2560x1440,MacOS,Mac OS X 10_12_6,safari generic,2560x1440,desktop
MacOS|Mac OS X 10_10_5|safari generic|2560x1440,MacOS,Mac OS X 10_10_5,safari generic,2560x1440,desktop
MacOS|Mac OS X 10_11_6|safari generic|1440x900,MacOS,Mac OS X 10_11_6,safari generic,1440x900,desktop
F3113 Build/33.2.A.4.70||chrome 62.0 for android|,F3113 Build/33.2.A.4.70,,chrome 62.0 for android,,mobile
Windows|Windows Vista|chrome 49.0|1366x768,Windows,Windows Vista,chrome 49.0,1366x768,desktop
iOS Device|iOS 11.1.2|mobile safari generic|1334x750,iOS Device,iOS 11.1.2,mobile safari generic,1334x750,mobile
D5306 Build/19.4.A.0.182||chrome 62.0 for android|,D5306 Build/19.4.A.0.182,,chrome 62.0 for android,,mobile
|Linux|chrome 59.0|1920x1080,,Linux,chrome 59.0,1920x1080,desktop
Trident/7.0|Windows 10|ie 11.0 for desktop|,Trident/7.0,Windows 10,ie 11.0 for desktop,,desktop
RCT6303W87M7 Build/MRA58K|Android 6.0|chrome 62.0 for android|1280x800,RCT6303W87M7 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x800,mobile
MacOS|Mac OS X 10_11_6|chrome 61.0|2880x1800,MacOS,Mac OS X 10_11_6,chrome 61.0,2880x1800,desktop
SAMSUNG-SM-G870A Build/MMB29M|Android 6.0.1|chrome 62.0 for android|1920x1080,SAMSUNG-SM-G870A Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,mobile
Blade V6 Build/LRX22G||chrome 62.0 for android|,Blade V6 Build/LRX22G,,chrome 62.0 for android,,mobile
iOS Device|iOS 11.1.0|mobile safari 11.0|1334x750,iOS Device,iOS 11.1.0,mobile safari 11.0,1334x750,mobile
SAMSUNG SM-J700M Build/MMB29K||samsung browser 6.2|,SAMSUNG SM-J700M Build/MMB29K,,samsung browser 6.2,,mobile
iOS Device|iOS 11.1.1|mobile safari 11.0|1334x750,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750,mobile
SM-G955U Build/NRD90M|Android 7.0|chrome 62.0 for android|,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
SM-G531H Build/LMY48B||chrome 62.0 for android|,SM-G531H Build/LMY48B,,chrome 62.0 for android,,mobile
Windows|Windows 7|chrome 62.0|1920x1080,Windows,Windows 7,chrome 62.0,1920x1080,desktop
iOS Device|iOS 11.0.3|mobile safari 11.0|1136x640,iOS Device,iOS 11.0.3,mobile safari 11.0,1136x640,mobile
SM-J727U Build/NRD90M||chrome 58.0 for android|,SM-J727U Build/NRD90M,,chrome 58.0 for android,,mobile
Blade V6 Plus Build/MRA58K||chrome 62.0 for android|,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,,mobile
Moto C Build/NRD90M.063||chrome 62.0 for android|,Moto C Build/NRD90M.063,,chrome 62.0 for android,,mobile
MacOS|Mac OS X 10_12_6|chrome 62.0|1920x1080,MacOS,Mac OS X 10_12_6,chrome 62.0,1920x1080,desktop
Trident/7.0|Windows 7|ie 11.0 for desktop|,Trident/7.0,Windows 7,ie 11.0 for desktop,,desktop
iOS Device|iOS 11.1.1|mobile safari 11.0|1136x640,iOS Device,iOS 11.1.1,mobile safari 11.0,1136x640,mobile
LG-K428 Build/MMB29M|Android 6.0.1|chrome 59.0 for android|1280x720,LG-K428 Build/MMB29M,Android 6.0.1,chrome 59.0 for android,1280x720,mobile
iOS Device|iOS 11.1.1|mobile safari 11.0|2048x1536,iOS Device,iOS 11.1.1,mobile safari 11.0,2048x1536,mobile
MacOS|Mac OS X 10_12_6|safari generic|1440x900,MacOS,Mac OS X 10_12_6,safari generic,1440x900,desktop
Trident/7.0|Windows 7|ie 11.0 for desktop|1366x768,Trident/7.0,Windows 7,ie 11.0 for desktop,1366x768,desktop
iOS Device|iOS 11.2.0|mobile safari 11.0|1136x640,iOS Device,iOS 11.2.0,mobile safari 11.0,1136x640,mobile
Windows|Windows 10|firefox 57.0|1920x1080,Windows,Windows 10,firefox 57.0,1920x1080,desktop
iOS Device|iOS 11.0.3|mobile safari 11.0|1334x750,iOS Device,iOS 11.0.3,mobile safari 11.0,1334x750,mobile
rv:52.0|Windows Vista|firefox 52.0|1920x1080,rv:52.0,Windows Vista,firefox 52.0,1920x1080,desktop
MacOS|Mac OS X 10_12_6|chrome 61.0|,MacOS,Mac OS X 10_12_6,chrome 61.0,,desktop
iOS Device|iOS|mobile safari 10.0|1334x750,iOS Device,iOS,mobile safari 10.0,1334x750,mobile
rv:57.0|Windows 10|firefox|1366x768,rv:57.0,Windows 10,firefox,1366x768,desktop
Windows||edge 14.0|,Windows,,edge 14.0,,desktop
MacOS|Mac OS X 10_13_1|safari generic|2560x1440,MacOS,Mac OS X 10_13_1,safari generic,2560x1440,desktop
MacOS|Mac OS X 10_13_1|chrome 62.0|2560x1600,MacOS,Mac OS X 10_13_1,chrome 62.0,2560x1600,desktop
Windows|Windows 10|chrome 62.0|1440x900,Windows,Windows 10,chrome 62.0,1440x900,desktop
SM-J327V Build/NRD90M|Android 7.0|chrome 62.0 for android|1280x720,SM-J327V Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,mobile
Trident/7.0|Windows 8.1|ie 11.0 for desktop|1366x768,Trident/7.0,Windows 8.1,ie 11.0 for desktop,1366x768,desktop
Windows|Windows 10|firefox 57.0|1600x900,Windows,Windows 10,firefox 57.0,1600x900,desktop
Windows|Windows 8.1|chrome 62.0|,Windows,Windows 8.1,chrome 62.0,,desktop
iOS Device|iOS 11.0.0|mobile safari 11.0|2048x1536,iOS Device,iOS 11.0.0,mobile safari 11.0,2048x1536,mobile
iOS Device|iOS 9.3.5|mobile safari 9.0|2048x1536,iOS Device,iOS 9.3.5,mobile safari 9.0,2048x1536,mobile
Windows|Windows 7|chrome 62.0|1600x900,Windows,Windows 7,chrome 62.0,1600x900,desktop
Windows|Windows 10|chrome 62.0|1600x900,Windows,Windows 10,chrome 62.0,1600x900,desktop
Windows|Windows XP|firefox 52.0|1152x864,Windows,Windows XP,firefox 52.0,1152x864,desktop
MacOS|Mac OS X 10_13_1|safari generic|4096x2304,MacOS,Mac OS X 10_13_1,safari generic,4096x2304,desktop
Windows|Windows 8.1|chrome 62.0|1366x768,Windows,Windows 8.1,chrome 62.0,1366x768,desktop
Windows|Windows 7|ie 11.0 for desktop|,Windows,Windows 7,ie 11.0 for desktop,,desktop
QTASUN1 Build/NRD90M|Android 7.0|chrome 56.0 for android|1920x1200,QTASUN1 Build/NRD90M,Android 7.0,chrome 56.0 for android,1920x1200,mobile
Windows|Windows 10|chrome 60.0|1920x1080,Windows,Windows 10,chrome 60.0,1920x1080,desktop
LG-D693n Build/LRX22G||chrome 60.0 for android|,LG-D693n Build/LRX22G,,chrome 60.0 for android,,mobile
Trident/7.0|Windows 7|ie 11.0 for desktop|1440x900,Trident/7.0,Windows 7,ie 11.0 for desktop,1440x900,desktop
||chrome|,,,chrome,,desktop
Windows|Windows 7|chrome 62.0|1280x1024,Windows,Windows 7,chrome 62.0,1280x1024,desktop
MacOS|Mac OS X 10_11_6|safari generic|1920x1080,MacOS,Mac OS X 10_11_6,safari generic,1920x1080,desktop
HUAWEI RIO-L03 Build/HUAWEIRIO-L03||chrome 62.0 for android|,HUAWEI RIO-L03 Build/HUAWEIRIO-L03,,chrome 62.0 for android,,mobile
Trident/7.0||ie 11.0 for desktop|,Trident/7.0,,ie 11.0 for desktop,,desktop
HTC 10 Build/NRD90M|Android 7.0|chrome 62.0 for android|2560x1440,HTC 10 Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,mobile
Windows|Windows 7|chrome 62.0|1920x1200,Windows,Windows 7,chrome 62.0,1920x1200,desktop
SM-G550T Build/MMB29K|Android 6.0.1|chrome 59.0 for android|1280x720,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android,1280x720,mobile
MacOS|Mac|safari generic|1680x1050,MacOS,Mac,safari generic,1680x1050,desktop
Windows|Windows 10|edge 14.0|1920x1080,Windows,Windows 10,edge 14.0,1920x1080,desktop
MacOS|Mac OS X 10_10_5|safari generic|1680x1050,MacOS,Mac OS X 10_10_5,safari generic,1680x1050,desktop
5012G Build/MRA58K||chrome 55.0 for android|,5012G Build/MRA58K,,chrome 55.0 for android,,mobile
SAMSUNG SM-T587P Build/NRD90M|Android 7.0|samsung browser 6.2|1920x1200,SAMSUNG SM-T587P Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1200,mobile
MacOS|Mac OS X 10_13_1|safari generic|1366x768,MacOS,Mac OS X 10_13_1,safari generic,1366x768,desktop
iOS Device|iOS 10.2.0|mobile safari 10.0|1136x640,iOS Device,iOS 10.2.0,mobile safari 10.0,1136x640,mobile
MacOS|Mac OS X 10_11_6|chrome 62.0|2560x1600,MacOS,Mac OS X 10_11_6,chrome 62.0,2560x1600,desktop
MacOS|Mac OS X 10_13_1|safari generic|2560x1600,MacOS,Mac OS X 10_13_1,safari generic,2560x1600,desktop
Windows|Windows 7|firefox 57.0|1600x900,Windows,Windows 7,firefox 57.0,1600x900,desktop
Windows|Windows 10|edge 15.0|,Windows,Windows 10,edge 15.0,,desktop
LG-V410|Android 5.0.2|chrome 61.0 for android|,LG-V410,Android 5.0.2,chrome 61.0 for android,,mobile
Trident/7.0|Windows 7|ie 11.0 for desktop|1280x720,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x720,desktop
SAMSUNG SM-G891A Build/NRD90M|Android 7.0|samsung browser 6.2|1920x1080,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,mobile
MacOS|Mac OS X 10_10_5|safari generic|1440x900,MacOS,Mac OS X 10_10_5,safari generic,1440x900,desktop
iOS Device|iOS 10.3.3|mobile safari 10.0|1136x640,iOS Device,iOS 10.3.3,mobile safari 10.0,1136x640,mobile
MacOS|Mac OS X 10_12_6|safari generic|2880x1800,MacOS,Mac OS X 10_12_6,safari generic,2880x1800,desktop
||mobile safari 9.0|,,,mobile safari 9.0,,mobile
Moto|Android 7.0|chrome generic|1920x1080,Moto,Android 7.0,chrome generic,1920x1080,mobile
Windows|Windows 10|edge 16.0|1366x768,Windows,Windows 10,edge 16.0,1366x768,desktop
Windows||ie 11.0 for desktop|,Windows,,ie 11.0 for desktop,,desktop
Windows|Windows 10|edge 15.0|1366x768,Windows,Windows 10,edge 15.0,1366x768,desktop
iOS Device|iOS 11.0.3|mobile safari 11.0|2048x1536,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536,mobile
MacOS|Mac OS X 10_10_5|safari generic|1920x1080,MacOS,Mac OS X 10_10_5,safari generic,1920x1080,desktop
Trident/7.0|Windows 7|ie 11.0 for desktop|1600x900,Trident/7.0,Windows 7,ie 11.0 for desktop,1600x900,desktop
Windows|Windows 10|chrome 62.0|3000x2000,Windows,Windows 10,chrome 62.0,3000x2000,desktop
|Linux|chrome 62.0|1366x768,,Linux,chrome 62.0,1366x768,desktop
iOS Device|iOS 11.1.2|mobile safari 11.0|2048x1536,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536,mobile
MacOS|Mac OS X 10_7_5|chrome 49.0|1920x1080,MacOS,Mac OS X 10_7_5,chrome 49.0,1920x1080,desktop
iOS Device|iOS 11.1.2|mobile safari generic|2208x1242,iOS Device,iOS 11.1.2,mobile safari generic,2208x1242,mobile
Windows|Windows 10|edge 15.0|1600x900,Windows,Windows 10,edge 15.0,1600x900,desktop
iOS Device|iOS 10.2.1|mobile safari 10.0|1136x640,iOS Device,iOS 10.2.1,mobile safari 10.0,1136x640,mobile
MacOS|Mac OS X 10_13_1|safari generic|5120x2880,MacOS,Mac OS X 10_13_1,safari generic,5120x2880,desktop
Trident/7.0|Windows 10|ie 11.0 for desktop|1920x1080,Trident/7.0,Windows 10,ie 11.0 for desktop,1920x1080,desktop
MacOS|Mac OS X 10_9_5|chrome 62.0|1920x1080,MacOS,Mac OS X 10_9_5,chrome 62.0,1920x1080,desktop
SM-J727V Build/NRD90M|Android 7.0|chrome 62.0 for android|1280x720,SM-J727V Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,mobile
Trident/7.0|Windows 10|ie 11.0 for tablet|1920x1080,Trident/7.0,Windows 10,ie 11.0 for tablet,1920x1080,desktop
Windows|Windows 7|firefox 57.0|1920x1080,Windows,Windows 7,firefox 57.0,1920x1080,desktop
MacOS|Mac OS X 10_13_1|safari generic|1920x1080,MacOS,Mac OS X 10_13_1,safari generic,1920x1080,desktop
rv:56.0|Mac OS X 10.12|firefox 56.0|1920x1080,rv:56.0,Mac OS X 10.12,firefox 56.0,1920x1080,desktop
Windows|Windows 8.1|ie 11.0 for desktop|,Windows,Windows 8.1,ie 11.0 for desktop,,desktop
Trident/7.0|Windows 10|ie 11.0 for desktop|1600x900,Trident/7.0,Windows 10,ie 11.0 for desktop,1600x900,desktop
Windows|Windows 10|edge 15.0|1920x1080,Windows,Windows 10,edge 15.0,1920x1080,desktop
Windows|Windows 8.1|chrome 62.0|1920x1080,Windows,Windows 8.1,chrome 62.0,1920x1080,desktop
Windows|Windows 8.1|chrome 62.0|1280x1024,Windows,Windows 8.1,chrome 62.0,1280x1024,desktop
SM-G532M Build/MMB29T||chrome 60.0 for android|,SM-G532M Build/MMB29T,,chrome 60.0 for android,,mobile
GT-P5113|Android|chrome 62.0 for android|1280x800,GT-P5113,Android,chrome 62.0 for android,1280x800,mobile
iOS Device|iOS 11.0.0|mobile safari 11.0|1334x750,iOS Device,iOS 11.0.0,mobile safari 11.0,1334x750,mobile
MacOS|Mac OS X 10_13_1|safari generic|1440x900,MacOS,Mac OS X 10_13_1,safari generic,1440x900,desktop
Windows||firefox 57.0|,Windows,,firefox 57.0,,desktop
Windows|Windows 10|chrome 62.0|3840x2160,Windows,Windows 10,chrome 62.0,3840x2160,desktop
XT1254 Build/MCG24.251-5-5|Android 6.0.1|chrome 62.0 for android|2560x1440,XT1254 Build/MCG24.251-5-5,Android 6.0.1,chrome 62.0 for android,2560x1440,mobile
rv:57.0|Mac OS X 10.10|firefox 57.0|2880x1800,rv:57.0,Mac OS X 10.10,firefox 57.0,2880x1800,desktop
iOS Device|iOS 11.0.3|mobile safari 11.0|2001x1125,iOS Device,iOS 11.0.3,mobile safari 11.0,2001x1125,mobile
rv:57.0|Mac OS X 10.13|firefox 57.0|1440x900,rv:57.0,Mac OS X 10.13,firefox 57.0,1440x900,desktop
rv:57.0|Mac OS X 10.10|firefox 57.0|1920x1080,rv:57.0,Mac OS X 10.10,firefox 57.0,1920x1080,desktop
MacOS|Mac OS X 10_12_6|chrome 62.0|2880x1800,MacOS,Mac OS X 10_12_6,chrome 62.0,2880x1800,desktop
iOS Device|iOS 11.1.2|mobile safari 11.0|2436x1125,iOS Device,iOS 11.1.2,mobile safari 11.0,2436x1125,mobile
Windows|Windows 7|firefox 57.0|1366x768,Windows,Windows 7,firefox 57.0,1366x768,desktop
Windows|Windows 10|firefox 57.0|1440x900,Windows,Windows 10,firefox 57.0,1440x900,desktop
Windows|Windows 7||1638x922,Windows,Windows 7,,1638x922,desktop
rv:11.0||ie 11.0 for desktop|,rv:11.0,,ie 11.0 for desktop,,desktop
Windows|Windows 10|firefox 57.0|1366x768,Windows,Windows 10,firefox 57.0,1366x768,desktop
Windows|Windows 7|chrome 62.0|1440x900,Windows,Windows 7,chrome 62.0,1440x900,desktop
MacOS|Mac OS X 10_10_5|safari generic|1920x1200,MacOS,Mac OS X 10_10_5,safari generic,1920x1200,desktop
iOS Device|iOS 11.2.0|mobile safari 11.0|2208x1242,iOS Device,iOS 11.2.0,mobile safari 11.0,2208x1242,mobile
Windows|Windows 10|chrome 62.0|2560x1440,Windows,Windows 10,chrome 62.0,2560x1440,desktop
iOS Device|iOS 11.2.0|mobile safari 11.0|2048x1536,iOS Device,iOS 11.2.0,mobile safari 11.0,2048x1536,mobile
LG-D331 Build/LRX22G||chrome 60.0 for android|,LG-D331 Build/LRX22G,,chrome 60.0 for android,,mobile
rv:11.0|Windows 7|ie 11.0 for desktop|,rv:11.0,Windows 7,ie 11.0 for desktop,,desktop
|Android|chrome 62.0|1920x1080,,Android,chrome 62.0,1920x1080,mobile
iOS Device|iOS 9.3.5|mobile safari 9.0|1024x768,iOS Device,iOS 9.3.5,mobile safari 9.0,1024x768,mobile
MacOS|Mac OS X 10_11_3|safari generic|1920x1080,MacOS,Mac OS X 10_11_3,safari generic,1920x1080,desktop
SM-G900V Build/MMB29M|Android 6.0.1|chrome 57.0 for android|1920x1080,SM-G900V Build/MMB29M,Android 6.0.1,chrome 57.0 for android,1920x1080,mobile
Windows|Windows 10|chrome 62.0|1280x1024,Windows,Windows 10,chrome 62.0,1280x1024,desktop
MacOS|Mac OS X 10_12_6|chrome 61.0|1440x900,MacOS,Mac OS X 10_12_6,chrome 61.0,1440x900,desktop
rv:51.0||firefox|,rv:51.0,,firefox,,desktop
MacOS|Mac OS X 10_12_3|chrome 62.0|1440x900,MacOS,Mac OS X 10_12_3,chrome 62.0,1440x900,desktop
LG-M322|Android 7.0|chrome 62.0 for android|1280x720,LG-M322,Android 7.0,chrome 62.0 for android,1280x720,mobile
||chrome generic|,,,chrome generic,,desktop
Windows|Windows 10|firefox 57.0|1280x1024,Windows,Windows 10,firefox 57.0,1280x1024,desktop
iOS Device|iOS 11.0.1|mobile safari 11.0|2048x1536,iOS Device,iOS 11.0.1,mobile safari 11.0,2048x1536,mobile
SM-E500M Build/KTU84P||chrome 62.0 for android|,SM-E500M Build/KTU84P,,chrome 62.0 for android,,mobile
SM-G900T Build/MMB29M|Android 6.0.1|chrome 62.0 for android|1920x1080,SM-G900T Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1920x1080,mobile
iOS Device|iOS 11.1.2|mobile safari generic|2048x1536,iOS Device,iOS 11.1.2,mobile safari generic,2048x1536,mobile
|Android|chrome 62.0|2560x1440,,Android,chrome 62.0,2560x1440,mobile
MacOS|Mac OS X 10_11_6|chrome 62.0|1366x768,MacOS,Mac OS X 10_11_6,chrome 62.0,1366x768,desktop
MacOS|Mac OS X 10_11_6|chrome 61.0|1920x1080,MacOS,Mac OS X 10_11_6,chrome 61.0,1920x1080,desktop
iOS Device|iOS 11.1.1|mobile safari generic|1334x750,iOS Device,iOS 11.1.1,mobile safari generic,1334x750,mobile
iOS Device|iOS 11.1.2|mobile safari 11.0|2001x1125,iOS Device,iOS 11.1.2,mobile safari 11.0,2001x1125,mobile
Windows|Windows 7|chrome 62.0|1360x768,Windows,Windows 7,chrome 62.0,1360x768,desktop
Z410||chrome 62.0 for android|,Z410,,chrome 62.0 for android,,mobile
SAMSUNG|Android 7.0|samsung browser 6.2|1920x1080,SAMSUNG,Android 7.0,samsung browser 6.2,1920x1080,mobile
Windows|Windows 7|chrome 62.0|1680x1050,Windows,Windows 7,chrome 62.0,1680x1050,desktop
SM-N920G Build/NRD90M||chrome 62.0 for android|,SM-N920G Build/NRD90M,,chrome 62.0 for android,,mobile
MacOS|Mac OS X 10_11_6|safari generic|2560x1600,MacOS,Mac OS X 10_11_6,safari generic,2560x1600,desktop
SAMSUNG SM-G950U1 Build/NRD90M|Android 7.0|samsung browser 6.2|2220x1080,SAMSUNG SM-G950U1 Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,mobile
MacOS|Mac OS X 10_11_6|safari generic|1280x800,MacOS,Mac OS X 10_11_6,safari generic,1280x800,desktop
Windows|Windows 10|chrome 62.0|1680x1050,Windows,Windows 10,chrome 62.0,1680x1050,desktop
LG-H500 Build/LRX21Y||chrome 59.0 for android|,LG-H500 Build/LRX21Y,,chrome 59.0 for android,,mobile
Aquaris||chrome 61.0 for android|,Aquaris,,chrome 61.0 for android,,mobile
BLADE A602 Build/MRA58K||chrome 62.0 for android|,BLADE A602 Build/MRA58K,,chrome 62.0 for android,,mobile
XT1635-02 Build/NPN26.118-22-2||chrome 62.0 for android|,XT1635-02 Build/NPN26.118-22-2,,chrome 62.0 for android,,mobile
MacOS|Mac OS X 10_11_6|chrome 62.0|2880x1800,MacOS,Mac OS X 10_11_6,chrome 62.0,2880x1800,desktop
MacOS|Mac OS X 10_12_6|chrome 61.0|5120x2880,MacOS,Mac OS X 10_12_6,chrome 61.0,5120x2880,desktop
MacOS|Mac OS X 10_11_6|chrome 62.0|1920x1080,MacOS,Mac OS X 10_11_6,chrome 62.0,1920x1080,desktop
Windows|Windows 10|edge 16.0|1920x1200,Windows,Windows 10,edge 16.0,1920x1200,desktop
Windows|Windows 10|chrome 62.0|1024x768,Windows,Windows 10,chrome 62.0,1024x768,desktop
||firefox 56.0|,,,firefox 56.0,,desktop
SM-N920V Build/NRD90M|Android 7.0|chrome 62.0 for android|,SM-N920V Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
HUAWEI TAG-L13 Build/HUAWEITAG-L13||chrome 62.0 for android|,HUAWEI TAG-L13 Build/HUAWEITAG-L13,,chrome 62.0 for android,,mobile
Windows|Windows 10|edge 14.0|1366x768,Windows,Windows 10,edge 14.0,1366x768,desktop
Trident/7.0|Windows 8.1|ie 11.0 for desktop|1440x900,Trident/7.0,Windows 8.1,ie 11.0 for desktop,1440x900,desktop
iOS Device|iOS 11.1.0|mobile safari 11.0|2048x1536,iOS Device,iOS 11.1.0,mobile safari 11.0,2048x1536,mobile
SM-G900F Build/MMB29M||chrome 62.0 for android|,SM-G900F Build/MMB29M,,chrome 62.0 for android,,mobile
MacOS|Mac OS X 10_13_1|safari generic|1600x900,MacOS,Mac OS X 10_13_1,safari generic,1600x900,desktop
SAMSUNG|Android 5.1.1|chrome generic|1920x1080,SAMSUNG,Android 5.1.1,chrome generic,1920x1080,mobile
|Linux|chrome 62.0|1920x1080,,Linux,chrome 62.0,1920x1080,desktop
||safari generic|,,,safari generic,,desktop
MacOS|Mac OS X 10_10_5|safari generic|1280x800,MacOS,Mac OS X 10_10_5,safari generic,1280x800,desktop
Windows|Windows 10|chrome 62.0|1280x800,Windows,Windows 10,chrome 62.0,1280x800,desktop
M4 SS4450 Build/MRA58K||other|,M4 SS4450 Build/MRA58K,,other,,mobile
Windows|Windows 10|edge 16.0|,Windows,Windows 10,edge 16.0,,desktop
Windows||edge 15.0|,Windows,,edge 15.0,,desktop
MacOS|Mac|safari generic|1440x900,MacOS,Mac,safari generic,1440x900,desktop
LG-K500 Build/MMB29M||chrome 62.0 for android|,LG-K500 Build/MMB29M,,chrome 62.0 for android,,mobile
iOS Device|iOS 10.3.3|mobile safari 10.0|2208x1242,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242,mobile
rv:52.0|Windows 10|firefox|1440x900,rv:52.0,Windows 10,firefox,1440x900,desktop
iOS Device|iOS 10.3.3|mobile safari 10.0|2048x1536,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536,mobile
iOS Device|iOS 11.1.2|mobile safari 11.0|2224x1668,iOS Device,iOS 11.1.2,mobile safari 11.0,2224x1668,mobile
