card_id,customer_id,card1,card2,card3,network,card5,card_type
C04960-K1,C04960,13611,388.0,150.0,visa,226.0,debit
C11000-K2,C11000,16535,514.0,150.0,mastercard,102.0,credit
C10679-K1,C10679,12570,263.0,150.0,visa,226.0,debit
C01953-K2,C01953,15887,479.0,150.0,visa,226.0,debit
C09221-K2,C09221,14718,318.0,150.0,visa,166.0,debit
C12758-K1,C12758,11453,555.0,150.0,visa,226.0,credit
C08924-K2,C08924,19392,304.0,146.0,visa,226.0,credit
C11625-K3,C11625,13191,215.0,150.0,mastercard,166.0,debit
C04105-K2,C04105,10533,174.0,150.0,visa,226.0,debit
C00750-K2,C00750,16300,327.0,150.0,discover,102.0,credit
C09486-K1,C09486,10517,150.0,150.0,visa,226.0,debit
C04597-K2,C04597,22904,375.0,185.0,mastercard,224.0,debit
C12517-K2,C12517,21703,490.0,150.0,visa,226.0,debit
C05854-K1,C05854,12833,600.0,150.0,visa,226.0,debit
C03230-K1,C03230,19707,225.0,150.0,mastercard,117.0,debit
C12136-K2,C12136,22941,321.0,150.0,visa,226.0,credit
C06872-K2,C06872,20698,555.0,147.0,mastercard,126.0,debit
C06248-K1,C06248,22862,310.0,150.0,mastercard,224.0,debit
C12094-K2,C12094,13556,215.0,150.0,visa,226.0,debit
C05312-K2,C05312,17519,,150.0,visa,166.0,debit
C08742-K1,C08742,15600,432.0,150.0,visa,226.0,debit
C09276-K1,C09276,18632,555.0,150.0,visa,226.0,debit
C12234-K2,C12234,12525,270.0,150.0,visa,166.0,debit
C08842-K2,C08842,10709,490.0,150.0,visa,226.0,debit
C07505-K1,C07505,13515,492.0,150.0,visa,226.0,debit
C13001-K1,C13001,21040,490.0,150.0,visa,226.0,debit
C08037-K1,C08037,11757,191.0,150.0,visa,226.0,debit
C09936-K1,C09936,17912,555.0,150.0,visa,226.0,debit
C00259-K1,C00259,15620,545.0,185.0,visa,226.0,credit
C12863-K1,C12863,14674,543.0,150.0,mastercard,224.0,debit
C08841-K1,C08841,17283,393.0,150.0,mastercard,117.0,debit
C02515-K2,C02515,23330,599.0,150.0,visa,166.0,debit
C08605-K1,C08605,12520,369.0,150.0,mastercard,224.0,debit
C09998-K1,C09998,14251,429.0,150.0,visa,226.0,debit
C05560-K2,C05560,12382,583.0,150.0,visa,195.0,credit
C01828-K2,C01828,22413,268.0,150.0,visa,166.0,debit
C09872-K1,C09872,22474,481.0,150.0,visa,226.0,credit
C09253-K1,C09253,23354,310.0,150.0,mastercard,224.0,debit
C08391-K2,C08391,13027,375.0,185.0,mastercard,224.0,debit
C01048-K2,C01048,20446,555.0,150.0,visa,166.0,debit
C03047-K2,C03047,23232,174.0,150.0,visa,226.0,debit
C00272-K1,C00272,18799,555.0,150.0,visa,226.0,debit
C06791-K1,C06791,20646,,150.0,visa,166.0,debit
C10656-K1,C10656,20080,555.0,150.0,mastercard,117.0,debit
C09405-K1,C09405,14447,111.0,150.0,mastercard,219.0,credit
C05622-K2,C05622,18228,571.0,150.0,visa,226.0,debit
C03277-K1,C03277,16376,181.0,150.0,visa,141.0,credit
C11464-K2,C11464,15326,111.0,150.0,visa,226.0,debit
C07212-K2,C07212,15876,514.0,150.0,visa,226.0,credit
C02250-K2,C02250,20397,514.0,150.0,mastercard,224.0,credit
C05689-K2,C05689,21174,269.0,150.0,mastercard,224.0,debit
C01154-K1,C01154,18031,529.0,150.0,visa,162.0,credit
C02331-K1,C02331,21097,433.0,150.0,visa,226.0,credit
C10755-K1,C10755,14761,170.0,150.0,visa,195.0,credit
C05078-K1,C05078,16144,417.0,150.0,visa,226.0,debit
C11227-K2,C11227,22902,100.0,150.0,visa,226.0,credit
C02342-K1,C02342,13321,453.0,150.0,visa,226.0,debit
C12907-K1,C12907,20787,194.0,150.0,mastercard,166.0,debit
C05996-K2,C05996,18478,266.0,185.0,mastercard,224.0,debit
C08027-K2,C08027,12346,452.0,150.0,mastercard,117.0,debit
C06055-K1,C06055,17443,420.0,150.0,mastercard,117.0,debit
C12682-K1,C12682,11561,561.0,150.0,mastercard,224.0,credit
C10270-K1,C10270,12537,555.0,150.0,visa,166.0,debit
C12598-K2,C12598,23089,111.0,150.0,visa,226.0,debit
C12982-K1,C12982,13095,490.0,150.0,visa,,credit
C06147-K2,C06147,11520,476.0,150.0,visa,166.0,debit
C13440-K2,C13440,22914,194.0,150.0,mastercard,202.0,debit
C03351-K2,C03351,12971,481.0,150.0,mastercard,102.0,credit
C12722-K1,C12722,15052,361.0,150.0,visa,226.0,credit
C04361-K2,C04361,20009,490.0,150.0,visa,195.0,debit
C00614-K2,C00614,18618,297.0,150.0,visa,166.0,debit
C10867-K2,C10867,22461,558.0,150.0,visa,226.0,debit
C10852-K1,C10852,22583,562.0,150.0,mastercard,102.0,credit
C06885-K1,C06885,20892,514.0,150.0,mastercard,224.0,debit
C06811-K1,C06811,14469,392.0,150.0,mastercard,117.0,debit
C09671-K1,C09671,12303,161.0,150.0,mastercard,219.0,credit
C07033-K1,C07033,10099,490.0,150.0,visa,226.0,debit
C03771-K1,C03771,16862,,150.0,visa,226.0,debit
C09165-K2,C09165,23024,111.0,150.0,mastercard,219.0,credit
C12084-K2,C12084,11753,203.0,150.0,visa,166.0,debit
C03851-K2,C03851,15928,111.0,150.0,mastercard,166.0,debit
C01333-K2,C01333,14332,512.0,150.0,visa,226.0,debit
C01521-K2,C01521,15986,296.0,185.0,visa,137.0,credit
C09750-K1,C09750,12884,136.0,150.0,mastercard,224.0,debit
C00844-K1,C00844,16199,481.0,150.0,visa,226.0,credit
C07220-K1,C07220,22782,142.0,185.0,visa,226.0,credit
C01563-K1,C01563,10553,555.0,150.0,visa,162.0,credit
C01954-K1,C01954,22709,527.0,150.0,mastercard,117.0,debit
C13449-K1,C13449,16362,455.0,150.0,mastercard,166.0,debit
C10955-K2,C10955,13688,404.0,150.0,mastercard,102.0,credit
C10516-K1,C10516,17805,471.0,150.0,mastercard,224.0,debit
C04582-K1,C04582,17185,555.0,150.0,visa,226.0,debit
C02134-K2,C02134,13600,152.0,150.0,visa,226.0,debit
C00331-K1,C00331,22984,476.0,150.0,visa,166.0,debit
C02608-K1,C02608,15835,111.0,150.0,visa,226.0,debit
C06403-K2,C06403,16488,170.0,150.0,visa,226.0,debit
C05196-K1,C05196,17968,555.0,150.0,visa,226.0,debit
C00969-K2,C00969,23224,246.0,150.0,visa,226.0,debit
C00732-K1,C00732,20540,343.0,150.0,visa,166.0,debit
C00094-K3,C00094,16429,445.0,150.0,mastercard,224.0,debit
C02902-K2,C02902,18167,490.0,150.0,visa,226.0,debit
C03412-K1,C03412,20714,562.0,150.0,visa,162.0,credit
C10239-K1,C10239,19725,144.0,150.0,mastercard,195.0,debit
C07058-K1,C07058,22289,555.0,150.0,visa,226.0,debit
C11883-K1,C11883,14243,399.0,150.0,american express,185.0,credit
C03474-K1,C03474,16511,174.0,150.0,visa,162.0,credit
C06403-K3,C06403,16488,476.0,150.0,visa,226.0,debit
C03649-K1,C03649,16212,353.0,150.0,mastercard,117.0,debit
C05958-K1,C05958,19195,562.0,150.0,mastercard,149.0,credit
C07803-K1,C07803,20506,512.0,150.0,mastercard,117.0,debit
C12124-K2,C12124,11638,321.0,150.0,visa,226.0,debit
C07523-K1,C07523,19549,550.0,150.0,visa,226.0,debit
C09184-K1,C09184,21598,225.0,150.0,mastercard,224.0,debit
C05128-K1,C05128,21222,111.0,150.0,visa,226.0,debit
C04034-K2,C04034,20270,177.0,185.0,mastercard,137.0,credit
C03556-K1,C03556,22121,,150.0,visa,166.0,debit
C08120-K1,C08120,14465,302.0,150.0,visa,226.0,debit
C05961-K1,C05961,16389,365.0,150.0,visa,226.0,debit
C05098-K1,C05098,12553,543.0,150.0,mastercard,224.0,debit
C10778-K1,C10778,17715,111.0,150.0,mastercard,224.0,credit
C05276-K2,C05276,12852,290.0,150.0,visa,226.0,debit
C11309-K1,C11309,21775,583.0,150.0,visa,226.0,credit
C05277-K1,C05277,17205,543.0,150.0,mastercard,224.0,debit
C10397-K1,C10397,11743,132.0,150.0,visa,226.0,debit
C04313-K1,C04313,12600,474.0,150.0,visa,226.0,credit
C11873-K2,C11873,13594,514.0,150.0,mastercard,224.0,debit
C10553-K1,C10553,12425,490.0,150.0,visa,195.0,debit
C05010-K1,C05010,10383,584.0,150.0,mastercard,102.0,credit
C11929-K2,C11929,18650,442.0,150.0,visa,226.0,debit
C08749-K1,C08749,10852,555.0,150.0,visa,226.0,debit
C06678-K1,C06678,12711,182.0,150.0,visa,226.0,debit
C13372-K1,C13372,17525,459.0,185.0,mastercard,224.0,credit
C09827-K2,C09827,15051,372.0,150.0,mastercard,117.0,debit
C05258-K2,C05258,10381,543.0,150.0,mastercard,224.0,debit
C01959-K1,C01959,12436,399.0,150.0,american express,236.0,credit
C03883-K1,C03883,18405,,,,,
C07227-K2,C07227,23292,178.0,150.0,mastercard,224.0,debit
C03858-K1,C03858,22451,555.0,150.0,visa,226.0,debit
C07504-K1,C07504,22533,532.0,150.0,mastercard,224.0,debit
C04707-K1,C04707,13285,555.0,150.0,visa,226.0,debit
C11917-K1,C11917,19842,310.0,150.0,mastercard,224.0,debit
C11468-K3,C11468,22748,174.0,150.0,mastercard,,credit
C07936-K2,C07936,23194,111.0,150.0,visa,226.0,debit
C00773-K2,C00773,20065,396.0,150.0,mastercard,224.0,debit
C01347-K2,C01347,13073,562.0,150.0,visa,226.0,credit
C11294-K2,C11294,17210,562.0,150.0,mastercard,219.0,credit
C10911-K1,C10911,11341,543.0,150.0,mastercard,224.0,debit
C02575-K2,C02575,21514,111.0,150.0,mastercard,195.0,debit
C11743-K2,C11743,15582,396.0,150.0,mastercard,224.0,debit
C09286-K2,C09286,12542,122.0,150.0,mastercard,126.0,debit
C12426-K1,C12426,15897,181.0,150.0,visa,226.0,debit
C04893-K1,C04893,15925,174.0,150.0,visa,166.0,debit
C12311-K2,C12311,12283,111.0,150.0,mastercard,224.0,debit
C07858-K2,C07858,15913,298.0,150.0,visa,226.0,debit
C04543-K2,C04543,22924,369.0,150.0,mastercard,117.0,debit
C12417-K1,C12417,10123,555.0,150.0,mastercard,117.0,debit
C00129-K2,C00129,15785,355.0,150.0,visa,166.0,debit
C01254-K1,C01254,11468,144.0,150.0,mastercard,224.0,debit
C08072-K1,C08072,11906,583.0,150.0,visa,226.0,credit
C04383-K1,C04383,21874,369.0,150.0,mastercard,224.0,debit
C04798-K2,C04798,12292,158.0,150.0,visa,226.0,debit
C09666-K2,C09666,20512,111.0,150.0,visa,226.0,debit
C04696-K1,C04696,20144,555.0,150.0,visa,226.0,credit
C08824-K1,C08824,19745,361.0,150.0,visa,226.0,debit
C09876-K1,C09876,20129,348.0,150.0,mastercard,224.0,credit
C05876-K2,C05876,12947,428.0,150.0,visa,166.0,debit
C07871-K1,C07871,18137,583.0,150.0,visa,226.0,credit
C12894-K1,C12894,15649,555.0,150.0,visa,195.0,debit
C04026-K1,C04026,22949,339.0,150.0,visa,226.0,debit
C01974-K1,C01974,11941,555.0,150.0,visa,226.0,debit
C04693-K1,C04693,16930,555.0,150.0,visa,226.0,debit
C10364-K1,C10364,15239,154.0,150.0,visa,226.0,debit
C09981-K2,C09981,19938,276.0,150.0,visa,226.0,debit
C08181-K1,C08181,12559,555.0,150.0,visa,226.0,debit
C12833-K1,C12833,23444,399.0,150.0,american express,198.0,credit
C05782-K2,C05782,20135,251.0,150.0,visa,226.0,debit
C10661-K1,C10661,10519,383.0,150.0,visa,226.0,debit
C07456-K2,C07456,19826,460.0,150.0,mastercard,224.0,debit
C08913-K2,C08913,15056,170.0,150.0,visa,226.0,credit
C09159-K1,C09159,17071,102.0,150.0,mastercard,117.0,debit
C12572-K1,C12572,15626,480.0,150.0,mastercard,224.0,debit
C11522-K2,C11522,15702,181.0,150.0,visa,226.0,credit
C11061-K1,C11061,15023,399.0,150.0,american express,223.0,credit
C03171-K1,C03171,18472,555.0,150.0,mastercard,117.0,debit
C10800-K1,C10800,20768,555.0,150.0,mastercard,117.0,debit
C10687-K1,C10687,12156,555.0,150.0,visa,226.0,credit
C02817-K1,C02817,16167,543.0,150.0,mastercard,224.0,debit
C03714-K1,C03714,17708,400.0,150.0,mastercard,224.0,debit
C07671-K2,C07671,22756,452.0,150.0,mastercard,117.0,debit
C08614-K1,C08614,19061,111.0,150.0,visa,226.0,debit
C12489-K1,C12489,20779,399.0,150.0,american express,236.0,credit
C11381-K2,C11381,12286,225.0,150.0,mastercard,224.0,debit
C01308-K1,C01308,15609,555.0,150.0,visa,226.0,debit
C00823-K1,C00823,15931,253.0,150.0,mastercard,224.0,debit
C00424-K1,C00424,10081,555.0,150.0,visa,226.0,debit
C09342-K1,C09342,14364,321.0,150.0,visa,226.0,debit
C13033-K1,C13033,11657,555.0,150.0,visa,226.0,debit
C12738-K1,C12738,20825,555.0,150.0,visa,226.0,debit
C02480-K1,C02480,20879,343.0,150.0,visa,226.0,credit
C03415-K1,C03415,20556,225.0,150.0,mastercard,219.0,credit
C08269-K1,C08269,21754,490.0,150.0,visa,226.0,debit
C12030-K2,C12030,18913,528.0,150.0,visa,226.0,credit
C12345-K1,C12345,19900,555.0,150.0,visa,226.0,debit
C11082-K1,C11082,23494,321.0,150.0,visa,226.0,credit
C04865-K1,C04865,10800,562.0,150.0,mastercard,219.0,credit
C03320-K1,C03320,11304,302.0,150.0,visa,226.0,debit
C08899-K1,C08899,15399,555.0,150.0,visa,226.0,debit
C02309-K2,C02309,16857,385.0,150.0,visa,226.0,debit
C02380-K1,C02380,20216,108.0,150.0,mastercard,117.0,debit
C11539-K2,C11539,18727,111.0,150.0,visa,162.0,credit
C12829-K1,C12829,13090,361.0,150.0,visa,226.0,credit
C03405-K2,C03405,20951,322.0,150.0,visa,195.0,debit
C01374-K2,C01374,10190,314.0,150.0,mastercard,224.0,debit
C06253-K1,C06253,15845,555.0,150.0,mastercard,224.0,debit
C04762-K1,C04762,20146,555.0,150.0,visa,226.0,debit
C07919-K2,C07919,21961,490.0,150.0,visa,226.0,debit
C10715-K2,C10715,17583,161.0,150.0,mastercard,117.0,debit
C06888-K1,C06888,20771,399.0,150.0,american express,150.0,credit
C06890-K1,C06890,20464,562.0,150.0,mastercard,102.0,credit
C05595-K2,C05595,18042,176.0,185.0,mastercard,224.0,debit
C00051-K1,C00051,18038,481.0,150.0,mastercard,102.0,credit
C02923-K1,C02923,22606,507.0,150.0,visa,226.0,credit
C12676-K1,C12676,13815,567.0,150.0,visa,228.0,credit
C08598-K1,C08598,15633,100.0,150.0,visa,226.0,credit
C01252-K1,C01252,13679,367.0,150.0,mastercard,224.0,credit
C05443-K1,C05443,12850,555.0,150.0,visa,226.0,debit
C07387-K1,C07387,16731,,150.0,visa,226.0,debit
C06481-K2,C06481,11732,535.0,150.0,visa,226.0,debit
C09584-K1,C09584,20629,555.0,150.0,visa,226.0,debit
C04478-K1,C04478,11395,555.0,150.0,mastercard,224.0,debit
C04834-K1,C04834,10401,111.0,150.0,mastercard,224.0,debit
C08635-K1,C08635,10513,357.0,150.0,visa,226.0,debit
C03488-K2,C03488,11653,415.0,185.0,mastercard,195.0,credit
C11005-K1,C11005,22554,111.0,150.0,visa,162.0,credit
C02764-K1,C02764,19146,512.0,150.0,visa,226.0,debit
C13259-K1,C13259,17326,111.0,150.0,visa,195.0,credit
C11059-K1,C11059,19317,262.0,150.0,visa,226.0,debit
C10585-K2,C10585,12228,,150.0,visa,226.0,credit
C05115-K2,C05115,23504,478.0,150.0,visa,226.0,credit
C13516-K2,C13516,11132,485.0,150.0,mastercard,229.0,debit
C03667-K1,C03667,18118,225.0,150.0,mastercard,117.0,debit
C04709-K2,C04709,10049,237.0,150.0,mastercard,224.0,debit
C11702-K1,C11702,10626,500.0,185.0,mastercard,224.0,credit
C01010-K1,C01010,22848,475.0,150.0,visa,226.0,debit
C12572-K2,C12572,15626,512.0,150.0,mastercard,224.0,debit
C09657-K2,C09657,12100,545.0,185.0,visa,226.0,credit
C13354-K2,C13354,22029,184.0,150.0,visa,226.0,debit
C07215-K1,C07215,11004,371.0,150.0,visa,226.0,credit
C06348-K1,C06348,13071,196.0,150.0,visa,226.0,debit
C01110-K1,C01110,17155,555.0,150.0,visa,226.0,debit
C01061-K1,C01061,16868,555.0,150.0,visa,226.0,debit
C09820-K2,C09820,18266,,150.0,visa,226.0,debit
C05171-K1,C05171,21122,533.0,150.0,mastercard,224.0,debit
C09420-K2,C09420,20395,111.0,150.0,visa,226.0,debit
C11583-K1,C11583,23455,553.0,150.0,visa,226.0,debit
C11906-K1,C11906,15367,462.0,150.0,visa,226.0,debit
C12652-K1,C12652,10651,555.0,150.0,visa,226.0,debit
C00059-K2,C00059,21826,332.0,150.0,visa,226.0,debit
C01286-K1,C01286,20116,399.0,150.0,american express,185.0,credit
C11852-K1,C11852,10642,170.0,150.0,mastercard,102.0,credit
C12981-K1,C12981,13540,512.0,150.0,visa,226.0,debit
C01048-K1,C01048,20446,476.0,150.0,visa,166.0,debit
C07335-K2,C07335,18385,350.0,150.0,visa,226.0,debit
C04062-K1,C04062,10076,532.0,150.0,mastercard,224.0,debit
C11176-K1,C11176,16401,555.0,150.0,visa,226.0,debit
C00089-K2,C00089,18634,531.0,150.0,mastercard,229.0,debit
C05448-K2,C05448,23286,302.0,150.0,visa,226.0,debit
C06327-K1,C06327,12616,399.0,150.0,american express,137.0,credit
C04525-K1,C04525,20268,555.0,150.0,visa,226.0,debit
C10320-K1,C10320,13514,321.0,150.0,visa,195.0,credit
C11768-K1,C11768,13924,555.0,150.0,mastercard,117.0,debit
C02566-K1,C02566,14042,555.0,117.0,american express,166.0,debit
C10900-K1,C10900,20674,225.0,150.0,mastercard,219.0,credit
C11701-K1,C11701,15132,555.0,150.0,mastercard,219.0,credit
C02646-K1,C02646,13664,181.0,150.0,visa,226.0,credit
C04764-K1,C04764,13086,399.0,150.0,american express,118.0,credit
C02930-K1,C02930,12076,517.0,150.0,mastercard,224.0,debit
C11468-K2,C11468,22748,174.0,150.0,mastercard,117.0,debit
C11216-K2,C11216,18725,516.0,150.0,mastercard,224.0,debit
C07149-K2,C07149,12848,174.0,150.0,visa,226.0,debit
C09354-K1,C09354,12652,500.0,185.0,mastercard,219.0,credit
C01248-K1,C01248,11231,555.0,150.0,visa,226.0,debit
C03651-K2,C03651,10639,517.0,150.0,mastercard,224.0,debit
C03722-K1,C03722,17006,555.0,150.0,mastercard,117.0,debit
C07741-K2,C07741,11672,122.0,150.0,mastercard,195.0,debit
C04701-K2,C04701,19212,390.0,150.0,mastercard,224.0,debit
C07997-K1,C07997,21812,170.0,150.0,visa,226.0,credit
C01942-K1,C01942,14626,369.0,150.0,mastercard,117.0,debit
C10006-K1,C10006,18995,310.0,150.0,mastercard,224.0,debit
C03204-K1,C03204,20860,555.0,213.0,mastercard,126.0,debit
C08695-K2,C08695,18909,555.0,150.0,visa,226.0,debit
C08775-K1,C08775,17142,399.0,150.0,american express,236.0,credit
C09191-K1,C09191,10426,555.0,150.0,visa,226.0,debit
C13053-K1,C13053,16755,555.0,150.0,mastercard,224.0,credit
C08542-K1,C08542,16205,158.0,150.0,visa,226.0,debit
C11687-K4,C11687,18152,564.0,150.0,visa,226.0,debit
C03839-K1,C03839,17665,396.0,150.0,mastercard,219.0,debit
C09087-K1,C09087,12334,555.0,150.0,visa,166.0,debit
C07276-K1,C07276,23349,444.0,150.0,visa,226.0,credit
C08321-K2,C08321,11668,454.0,150.0,visa,226.0,debit
C13346-K1,C13346,17038,555.0,150.0,mastercard,117.0,debit
C11494-K1,C11494,16171,243.0,150.0,visa,195.0,debit
C07889-K1,C07889,21391,257.0,150.0,visa,226.0,credit
C04408-K1,C04408,21393,555.0,150.0,visa,226.0,debit
C02346-K1,C02346,23041,454.0,150.0,visa,226.0,debit
C03411-K2,C03411,19473,325.0,150.0,visa,226.0,debit
C01337-K2,C01337,18242,543.0,150.0,mastercard,224.0,debit
C03556-K2,C03556,22121,555.0,150.0,visa,166.0,debit
C09650-K1,C09650,15935,399.0,150.0,american express,236.0,credit
C01988-K1,C01988,23069,321.0,150.0,visa,226.0,debit
C04118-K2,C04118,19233,194.0,150.0,mastercard,117.0,debit
C00195-K1,C00195,10856,555.0,150.0,visa,226.0,debit
C03670-K1,C03670,10242,555.0,150.0,visa,226.0,debit
C06845-K1,C06845,12832,358.0,150.0,visa,226.0,debit
C05318-K2,C05318,16026,127.0,150.0,mastercard,224.0,debit
C05164-K1,C05164,14483,268.0,150.0,visa,166.0,debit
C12097-K1,C12097,12588,495.0,150.0,mastercard,117.0,debit
C08597-K2,C08597,11904,514.0,150.0,mastercard,224.0,debit
C04112-K1,C04112,10127,399.0,150.0,american express,236.0,credit
C12003-K1,C12003,21563,555.0,150.0,visa,226.0,debit
C06658-K1,C06658,13334,514.0,150.0,mastercard,219.0,credit
C07906-K1,C07906,20006,302.0,150.0,visa,226.0,debit
C04285-K1,C04285,15053,321.0,150.0,visa,195.0,debit
C12542-K1,C12542,21789,532.0,150.0,mastercard,224.0,debit
C00409-K1,C00409,14046,347.0,150.0,visa,226.0,debit
C00101-K1,C00101,14535,225.0,150.0,mastercard,224.0,debit
C02456-K1,C02456,10112,500.0,185.0,mastercard,224.0,credit
C12060-K1,C12060,15176,465.0,150.0,visa,226.0,debit
C02094-K1,C02094,20510,111.0,150.0,visa,226.0,credit
C10915-K1,C10915,18638,543.0,150.0,mastercard,224.0,debit
C13542-K1,C13542,20021,555.0,150.0,mastercard,117.0,debit
C08622-K1,C08622,13977,555.0,150.0,visa,226.0,debit
C09261-K1,C09261,14301,127.0,150.0,mastercard,224.0,debit
C11441-K1,C11441,21499,555.0,150.0,visa,226.0,debit
C01735-K1,C01735,10185,321.0,150.0,visa,226.0,debit
C05129-K1,C05129,10326,369.0,150.0,mastercard,117.0,debit
C11257-K1,C11257,21545,555.0,150.0,visa,226.0,debit
C07076-K1,C07076,22752,514.0,150.0,mastercard,224.0,credit
C10760-K2,C10760,12153,545.0,185.0,visa,137.0,debit
C03787-K1,C03787,10104,555.0,150.0,visa,226.0,debit
C13337-K1,C13337,11898,321.0,150.0,visa,226.0,debit
C05011-K1,C05011,22345,490.0,150.0,visa,226.0,debit
C08422-K1,C08422,22590,369.0,150.0,mastercard,224.0,debit
C10752-K1,C10752,22251,555.0,150.0,visa,226.0,debit
C11533-K2,C11533,18239,411.0,150.0,visa,226.0,debit
C11662-K1,C11662,21344,399.0,150.0,american express,133.0,credit
C06552-K2,C06552,15682,288.0,150.0,visa,226.0,debit
C06800-K1,C06800,18895,555.0,150.0,visa,226.0,debit
C00642-K2,C00642,19203,464.0,150.0,visa,226.0,debit
C04352-K1,C04352,13505,481.0,150.0,mastercard,224.0,credit
C01706-K1,C01706,17595,555.0,150.0,mastercard,117.0,debit
C03532-K2,C03532,13422,146.0,150.0,mastercard,117.0,debit
C05120-K2,C05120,13222,555.0,150.0,visa,226.0,debit
C10873-K1,C10873,11452,174.0,150.0,visa,195.0,debit
C07847-K2,C07847,16743,490.0,150.0,visa,226.0,debit
C08460-K1,C08460,11996,543.0,150.0,mastercard,224.0,debit
C10386-K1,C10386,23400,192.0,150.0,mastercard,117.0,debit
C04157-K1,C04157,13209,399.0,150.0,american express,137.0,credit
C13328-K1,C13328,18090,321.0,150.0,visa,144.0,credit
C01855-K2,C01855,19122,514.0,150.0,mastercard,224.0,credit
C09064-K1,C09064,17423,327.0,150.0,discover,166.0,debit
C03201-K1,C03201,14675,555.0,137.0,visa,226.0,credit
C09274-K1,C09274,19507,343.0,150.0,visa,195.0,credit
C04248-K2,C04248,20671,202.0,185.0,mastercard,137.0,credit
C06388-K1,C06388,20315,555.0,150.0,visa,226.0,debit
C12321-K1,C12321,21150,399.0,150.0,american express,198.0,credit
C04548-K1,C04548,16035,555.0,150.0,visa,226.0,debit
C07336-K1,C07336,16763,490.0,150.0,visa,228.0,credit
C09608-K1,C09608,17857,555.0,150.0,visa,226.0,debit
C00509-K1,C00509,14504,490.0,150.0,visa,166.0,debit
C03299-K2,C03299,12793,284.0,150.0,visa,100.0,debit
C11319-K1,C11319,21082,399.0,150.0,american express,137.0,credit
C10946-K1,C10946,23192,,146.0,,224.0,debit
C07954-K1,C07954,12938,555.0,150.0,mastercard,224.0,debit
C00522-K1,C00522,15608,592.0,150.0,visa,226.0,debit
C03042-K1,C03042,15158,562.0,150.0,mastercard,219.0,credit
C12626-K2,C12626,19029,478.0,150.0,visa,226.0,credit
C05576-K1,C05576,18115,275.0,150.0,mastercard,224.0,debit
C11362-K2,C11362,15365,555.0,150.0,mastercard,224.0,debit
C13117-K1,C13117,19747,225.0,150.0,mastercard,117.0,debit
C06840-K3,C06840,12032,443.0,150.0,mastercard,137.0,debit
C02708-K1,C02708,22633,390.0,150.0,mastercard,224.0,debit
C05393-K1,C05393,13739,555.0,150.0,visa,226.0,debit
C13408-K1,C13408,13754,555.0,150.0,visa,226.0,debit
C01782-K2,C01782,12876,327.0,150.0,discover,194.0,credit
C08780-K1,C08780,13175,439.0,144.0,mastercard,219.0,credit
